

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1416270_at	5603	P	0.000244
1416271_at	94.8	P	0.046143
1416272_at	1580.7	P	0.000244
1416273_at	65.8	A	0.303711
1416274_at	217.8	P	0.005859
1416275_at	330.1	P	0.00415
1416276_a_at	77228.1	P	0.000244
1416277_a_at	82468.1	P	0.000244
1416278_a_at	6716.8	P	0.000244
1416279_at	1402.3	P	0.001221
1416280_at	4369.6	P	0.000244
1416281_at	1503.9	P	0.001953
1416282_at	4117.4	P	0.000244
1416283_at	1251.7	P	0.000244
1416284_at	1120.1	P	0.000244
1416285_at	1575.6	P	0.000244
1416286_at	9.5	A	0.850342
1416287_at	7.1	A	0.753906
1416288_at	15220.8	P	0.000244
1416289_at	138.7	A	0.246094
1416290_a_at	2818.8	P	0.000244
1416291_at	2244.4	P	0.000244
1416292_at	3102.5	P	0.000732
1416293_at	33	A	0.334473
1416294_at	2209.2	P	0.000732
1416295_a_at	14098	P	0.000244
1416296_at	13699.5	P	0.000244
1416297_s_at	87.1	A	0.303711
1416298_at	15.4	A	0.398926
1416299_at	197.5	P	0.001221
1416300_a_at	15515.9	P	0.000244
1416301_a_at	34.5	A	0.27417
1416302_at	31.8	A	0.432373
1416303_at	523.3	P	0.001221
1416304_at	295.9	P	0.037598
1416305_at	68.4	A	0.095215
1416306_at	4	A	0.72583
1416307_at	1752.7	P	0.008057
1416308_at	1443.7	P	0.00293
1416309_at	228.9	P	0.00415
1416310_at	45.7	A	0.080566
1416311_s_at	579.5	A	0.067627
1416312_at	2553.6	P	0.000244
1416313_at	671	P	0.000244
1416314_at	28.8	A	0.72583
1416315_at	151.6	P	0.00415
1416316_at	3.5	A	0.932373
